customset_name	rowcount	screen_label	tag	default_value
Google Photos	0	IPTC:DateCreated	IPTC:DateCreated	
Google Photos	1	IPTC:TimeCreated	IPTC:TimeCreated	
Google Photos	2	EXIF:DateTimeOriginal	EXIF:DateTimeOriginal	
Google Photos	3	XMP-photoshop:DateCreated	XMP-photoshop:DateCreated	
Google Photos	4	XMP-exif:DateTimeOriginal	XMP-exif:DateTimeOriginal	
Google Photos	5	IPTC:DigitalCreationDate	IPTC:DigitalCreationDate	
Google Photos	6	IPTC:DigitalCreationTime	IPTC:DigitalCreationTime	
Google Photos	7	EXIF:CreateDate	EXIF:CreateDate	
Google Photos	8	XMP-xmp:CreateDate	XMP-xmp:CreateDate	
Google Photos	9	XMP-exif:DateTimeDigitized	XMP-exif:DateTimeDigitized	
Google Photos	10	EXIF:ModifyDate	EXIF:ModifyDate	
Google Photos	11	XMP-xmp:ModifyDate	XMP-xmp:ModifyDate	
Google Photos	12	GPS:GPSDateStamp	GPS:GPSDateStamp	
Google Photos	13	GPS:GPSTimeStamp	GPS:GPSTimeStamp	
Google Photos	14	System:FileModifyDate	System:FileModifyDate	
Google Photos	15	EXIF:Model	EXIF:Model	
Google Photos	16	EXIF:FNumber	EXIF:FNumber	
Google Photos	17	XMP-exif:FNumber	XMP-exif:FNumber	
Google Photos	18	XMP-exif:ApertureValue	XMP-exif:ApertureValue	
Google Photos	19	EXIF:MaxApertureValue	EXIF:MaxApertureValue	
Google Photos	20	XMP-exif:MaxApertureValue	XMP-exif:MaxApertureValue	
Google Photos	21	EXIF:ExposureTime	EXIF:ExposureTime	
Google Photos	22	XMP-exif:ExposureTime	XMP-exif:ExposureTime	
Google Photos	23	EXIF:ShutterSpeedValue	EXIF:ShutterSpeedValue	
Google Photos	24	XMP-exif:ShutterSpeedValue	XMP-exif:ShutterSpeedValue	
Google Photos	25	EXIF:FocalLength	EXIF:FocalLength	
Google Photos	26	XMP-exif:FocalLength	XMP-exif:FocalLength	
Google Photos	27	EXIF:ISO	EXIF:ISO	
Google Photos	28	XMP-exif:ISO	XMP-exif:ISO	
Google Photos	29	EXIF:GPSVersionID	EXIF:GPSVersionID	2.3.0.0
Google Photos	30	EXIF:GPSLatitudeRef	EXIF:GPSLatitudeRef	
Google Photos	31	EXIF:GPSLatitude	EXIF:GPSLatitude	
Google Photos	32	EXIF:GPSLongitudeRef	EXIF:GPSLongitudeRef	
Google Photos	33	EXIF:GPSLongitude	EXIF:GPSLongitude	
Google Photos	34	EXIF:GPSAltitudeRef	EXIF:GPSAltitudeRef	
Google Photos	35	EXIF:GPSAltitude	EXIF:GPSAltitude	
Google Photos	36	EXIF:GPSMapDatum	EXIF:GPSMapDatum	WGS-84
Google Photos	37	EXIF:Orientation	EXIF:Orientation	
