customset_name	rowcount	screen_label	tag	default_value
isadg	0	Identity Reference	xmp-isadg:IdentityReference	
isadg	1	Identity Title	xmp-isadg:IdentityTitle	
isadg	2	Identity Date	xmp-isadg:IdentityDate	
isadg	3	Identity DescriptionLevel	xmp-isadg:IdentityDescriptionLevel	
isadg	4	Identity Extent	xmp-isadg:IdentityExtent	
isadg	5	Context Creator	xmp-isadg:ContextCreator	
isadg	6	Context Adminbiohistory	xmp-isadg:ContextAdminbiohistory	
isadg	7	Context Archivalhistory	xmp-isadg:ContextArchivalhistory	
isadg	8	Context Acqinfo	xmp-isadg:ContextAcqinfo	
isadg	9	Contentstructure Scopecontent	xmp-isadg:ContentstructureScopeContent	
isadg	10	Contentstructure Appraisaldestruction	xmp-isadg:ContentstructureAppraisaldestruction	
isadg	11	Contentstructure Accruals	xmp-isadg:ContentstructureAccruals	
isadg	12	Contentstructure Arrangement	xmp-isadg:ContentstructureArrangement	
isadg	13	Conditionsaccessuse Accessrestrictions	xmp-isadg:ConditionsaccessuseAccessrestrictions	
isadg	14	Conditionsaccessuse Reprorestrictions	xmp-isadg:ConditionsaccessuseReprorestrictions	
isadg	15	Conditionsaccessuse Languagescripts	xmp-isadg:ConditionsaccessuseLanguagescripts	
isadg	16	Conditionsaccessuse Phystech	xmp-isadg:ConditionsaccessusePhystech	
isadg	17	Conditionsaccessuse Findingaids	xmp-isadg:ConditionsaccessuseFindingaids	
isadg	18	Alliedmaterials Existencelocationoriginals	xmp-isadg:AlliedmaterialsExistencelocationoriginals	
isadg	19	Alliedmaterials Existencelocationcopies	xmp-isadg:AlliedmaterialsExistencelocationcopies	
isadg	20	Alliedmaterials Relatedunits	xmp-isadg:AlliedmaterialsRelatedunits	
isadg	21	Alliedmaterials Publication	xmp-isadg:AlliedmaterialsPublication	
isadg	22	Notes Note	xmp-isadg:NotesNote	
isadg	23	Descriptioncontrol Archivistsnote	xmp-isadg:DescriptioncontrolArchivistsnote	
isadg	24	Descriptioncontrol Rulesconventions	xmp-isadg:DescriptioncontrolRulesconventions	
isadg	25	Descriptioncontrol Descriptionsdate	xmp-isadg:DescriptioncontrolDescriptionsdate	
