"rowcount","screen_label","tag","default_value"
"0","IPTC:DateCreated","IPTC:DateCreated",""
"1","IPTC:TimeCreated","IPTC:TimeCreated",""
"2","EXIF:DateTimeOriginal","EXIF:DateTimeOriginal",""
"3","XMP-photoshop:DateCreated","XMP-photoshop:DateCreated",""
"4","XMP-exif:DateTimeOriginal","XMP-exif:DateTimeOriginal",""
"5","IPTC:DigitalCreationDate","IPTC:DigitalCreationDate",""
"6","IPTC:DigitalCreationTime","IPTC:DigitalCreationTime",""
"7","EXIF:CreateDate","EXIF:CreateDate",""
"8","XMP-xmp:CreateDate","XMP-xmp:CreateDate",""
"9","XMP-exif:DateTimeDigitized","XMP-exif:DateTimeDigitized",""
"10","EXIF:ModifyDate","EXIF:ModifyDate",""
"11","XMP-xmp:ModifyDate","XMP-xmp:ModifyDate",""
"12","GPS:GPSDateStamp","GPS:GPSDateStamp",""
"13","GPS:GPSTimeStamp","GPS:GPSTimeStamp",""
"14","System:FileModifyDate","System:FileModifyDate",""
"15","EXIF:Model","EXIF:Model",""
"16","EXIF:FNumber","EXIF:FNumber",""
"17","XMP-exif:FNumber","XMP-exif:FNumber",""
"18","XMP-exif:ApertureValue","XMP-exif:ApertureValue",""
"19","EXIF:MaxApertureValue","EXIF:MaxApertureValue",""
"20","XMP-exif:MaxApertureValue","XMP-exif:MaxApertureValue",""
"21","EXIF:ExposureTime","EXIF:ExposureTime",""
"22","XMP-exif:ExposureTime","XMP-exif:ExposureTime",""
"23","EXIF:ShutterSpeedValue","EXIF:ShutterSpeedValue",""
"24","XMP-exif:ShutterSpeedValue","XMP-exif:ShutterSpeedValue",""
"25","EXIF:FocalLength","EXIF:FocalLength",""
"26","XMP-exif:FocalLength","XMP-exif:FocalLength",""
"27","EXIF:ISO","EXIF:ISO",""
"28","XMP-exif:ISO","XMP-exif:ISO",""
"29","EXIF:GPSVersionID","EXIF:GPSVersionID","2.3.0.0"
"30","EXIF:GPSLatitudeRef","EXIF:GPSLatitudeRef",""
"31","EXIF:GPSLatitude","EXIF:GPSLatitude",""
"32","EXIF:GPSLongitudeRef","EXIF:GPSLongitudeRef",""
"33","EXIF:GPSLongitude","EXIF:GPSLongitude",""
"34","EXIF:GPSAltitudeRef","EXIF:GPSAltitudeRef",""
"35","EXIF:GPSAltitude","EXIF:GPSAltitude",""
"36","EXIF:GPSMapDatum","EXIF:GPSMapDatum","WGS-84"
"37","EXIF:Orientation","EXIF:Orientation",""
