"rowcount","screen_label","tag","default_value"
"0","Identity Reference","xmp-isadg:IdentityReference",""
"1","Identity Title","xmp-isadg:IdentityTitle",""
"2","Identity Date","xmp-isadg:IdentityDate",""
"3","Identity DescriptionLevel","xmp-isadg:IdentityDescriptionLevel",""
"4","Identity Extent","xmp-isadg:IdentityExtent",""
"5","Context Creator","xmp-isadg:ContextCreator",""
"6","Context Adminbiohistory","xmp-isadg:ContextAdminbiohistory",""
"7","Context Archivalhistory","xmp-isadg:ContextArchivalhistory",""
"8","Context Acqinfo","xmp-isadg:ContextAcqinfo",""
"9","Contentstructure Scopecontent","xmp-isadg:ContentstructureScopeContent",""
"10","Contentstructure Appraisaldestruction","xmp-isadg:ContentstructureAppraisaldestruction",""
"11","Contentstructure Accruals","xmp-isadg:ContentstructureAccruals",""
"12","Contentstructure Arrangement","xmp-isadg:ContentstructureArrangement",""
"13","Conditionsaccessuse Accessrestrictions","xmp-isadg:ConditionsaccessuseAccessrestrictions",""
"14","Conditionsaccessuse Reprorestrictions","xmp-isadg:ConditionsaccessuseReprorestrictions",""
"15","Conditionsaccessuse Languagescripts","xmp-isadg:ConditionsaccessuseLanguagescripts",""
"16","Conditionsaccessuse Phystech","xmp-isadg:ConditionsaccessusePhystech",""
"17","Conditionsaccessuse Findingaids","xmp-isadg:ConditionsaccessuseFindingaids",""
"18","Alliedmaterials Existencelocationoriginals","xmp-isadg:AlliedmaterialsExistencelocationoriginals",""
"19","Alliedmaterials Existencelocationcopies","xmp-isadg:AlliedmaterialsExistencelocationcopies",""
"20","Alliedmaterials Relatedunits","xmp-isadg:AlliedmaterialsRelatedunits",""
"21","Alliedmaterials Publication","xmp-isadg:AlliedmaterialsPublication",""
"22","Notes Note","xmp-isadg:NotesNote",""
"23","Descriptioncontrol Archivistsnote","xmp-isadg:DescriptioncontrolArchivistsnote",""
"24","Descriptioncontrol Rulesconventions","xmp-isadg:DescriptioncontrolRulesconventions",""
"25","Descriptioncontrol Descriptionsdate","xmp-isadg:DescriptioncontrolDescriptionsdate",""
