"rowcount","screen_label","tag","default_value"
"0","GPS Version ID","EXIF:GPSVersionID","2.3.0.0"
"1","breedtegraad ref","EXIF:GPSLatitudeRef","North"
"2","breedtegraad","EXIF:GPSLatitude",""
"3","Lengtegraad ref","EXIF:GPSLongitudeRef","West"
"4","Lengtegraad","EXIF:GPSLongitude",""
"5","hoogte ref","EXIF:GPSAltitudeRef","Above Sea Level"
"6","hoogte ref","EXIF:GPSAltitude",""
"7","GPSMapDatum","EXIF:GPSMapDatum","WGS-84"
"8","Locatie","XMP:Location",""
"9","xmp hoogte","XMP:GPSAltitude",""
"10","xmp breedtegraad","XMP:GPSLatitude",""
"11","xmp lengtegraad","XMP:GPSLongitude",""
"12","stad","XMP:City",""
"13","land","XMP:Country",""
"14","staat/provincie","XMP:State",""
"15","iptc stad","IPTC:City",""
"16","sub-locatie","IPTC:Sub-location",""
"17","provincie-staat","IPTC:Province-State",""
"18","land-primairenaam","IPTC:Country-PrimaryLocationName",""
