"Display name","tag","Description"
"Make","-exif:Make",""
"Model","-exif:Model",""
"LensModel","-exif:LensModel",""
"ExposureTime","-exif:ExposureTime","[1/50] or [0.02]"
"FNumber","-exif:FNumber",""
"ISO","-exif:ISO",""
"FocalLength","-exif:FocalLength","[28] -mm not necessary"
"FocalLengthin35mmformat","-exif:FocalLengthin35mmformat","[200] -mm not necessary"
"Flash#","-exif:Flash","[ 0 ]=>No flash, [ 1 ]=>Flash fired"
"Orientation#","-exif:Orientation","[ 1 ]=>0°, [ 3 ]=>180°, [ 6 ]=>+90°, [ 8 ]=>-90°"
"DateTimeOriginal","-exif:DateTimeOriginal","[2012:01:14 20:00:00]"
"CreateDate","-exif:CreateDate","[2012:01:14 20:00:00]"
"Artist*","-exif:Artist","Harry van der Wolf"
"Copyright","-exif:Copyright","©2020"
"Software","-exif:Software",""
"Latitide","-Gps:-GpsLatitude",""
"Longitude","-Gps:-GpsLongitude",""
"Altitude","-Gps:-GpsAltitude",""
"Orientation/Type±","-xmp-dc:Type","[Landscape] or [Studio+Portrait] .."
"Event","-xmp-iptcExt:Event","[Vacations] or [Trip] .."
"PersonInImage±","-xmp:PersonInImage","[Phil] or [Harry+Sally] or [-Peter] .."
"Keywords±","-xmp-dc:Subject","[tree] or [flower+rose] or [-fish] or [+bird-fish] .."
"Country","-xmp:Country",""
"Province","-xmp:State",""
"City","-xmp:City",""
"Location","-xmp:location",""
